State,Year,EncephMen,Fever,Other,Total,Fatal,Latitude,Longitude
New York,1999,59,3,0,62,7,42.54,-75.28
Connecticut,2000,0,1,0,1,0,41.51,-72.76
New Jersey,2000,5,1,0,6,1,40.17,-74.72
New York,2000,14,0,0,14,1,42.54,-75.28
Alabama,2001,2,0,0,2,1,32.28,-86.92
Connecticut,2001,6,0,0,6,1,41.51,-72.76
Florida,2001,12,0,0,12,0,28.39,-82.85
Georgia,2001,6,0,0,6,1,32.58,-83.09
Louisiana,2001,1,0,0,1,0,30.71,-91.34
Maryland,2001,6,0,0,6,2,39.05,-77.03
Massachusetts,2001,3,0,0,3,1,41.99,-71.14
New Jersey,2001,12,0,0,12,1,40.17,-74.72
New York,2001,13,2,0,15,2,42.54,-75.28
Pennsylvania,2001,3,0,0,3,0,40.94,-77.5
Alabama,2002,34,15,0,49,3,32.28,-86.92
Arkansas,2002,32,11,0,43,3,34.83,-91.89
California,2002,1,0,0,1,0,36.82,-119.66
Colorado,2002,6,8,0,14,0,39.03,-105.54
Connecticut,2002,10,6,1,17,0,41.51,-72.76
Delaware,2002,0,1,0,1,0,39.11,-75.49
District of Columbia,2002,14,19,1,34,1,39.11,-75.49
Florida,2002,28,0,0,28,2,28.39,-82.85
Georgia,2002,28,15,1,44,7,32.58,-83.09
Illinois,2002,553,328,3,884,64,39.74,-89.2
Indiana,2002,180,102,11,293,11,39.45,-86.58
Iowa,2002,27,27,0,54,2,42.13,-93.76
Kansas,2002,22,0,0,22,0,38.56,-98.21
Kentucky,2002,53,22,0,75,5,37.57,-85.67
Louisiana,2002,204,122,3,329,25,30.71,-91.34
Maryland,2002,22,14,0,36,7,39.05,-77.03
Massachusetts,2002,19,4,0,23,3,41.99,-71.14
Michigan,2002,557,54,3,614,51,45.2,-85.91
Minnesota,2002,16,32,0,48,0,46.78,-94.1
Mississippi,2002,162,29,1,192,12,32.48,-90.06
Missouri,2002,126,42,0,168,7,38.31,-92.23
Montana,2002,2,0,0,2,0,46.87,-110.58
Nebraska,2002,84,53,15,152,7,41.5,-99.43
New Jersey,2002,16,8,0,24,0,40.17,-74.72
New York,2002,68,12,2,82,5,42.54,-75.28
North Carolina,2002,2,0,0,2,0,35.63,-79.05
North Dakota,2002,3,11,3,17,2,47.47,-99.5
Ohio,2002,310,131,0,441,31,40.22,-82.66
Oklahoma,2002,16,4,1,21,2,35.42,-97.98
Pennsylvania,2002,42,20,0,62,7,40.94,-77.5
Rhode Island,2002,1,0,0,1,0,41.59,-71.43
South Carolina,2002,1,0,0,1,0,33.81,-81.25
South Dakota,2002,17,20,0,37,0,44.27,-99.68
Tennessee,2002,47,9,0,56,7,35.9,-86.21
Texas,2002,202,0,0,202,13,30.52,-99.21
Vermont,2002,0,1,0,1,0,44.04,-72.56
Virginia,2002,16,12,1,29,2,37.55,-78.95
West Virginia,2002,3,0,0,3,2,38.85,-80.27
Wisconsin,2002,22,26,4,52,3,44.98,-89.75
Wyoming,2002,0,2,0,2,0,43.03,-107.56
Alabama,2003,25,10,2,37,3,32.28,-86.92
Arizona,2003,7,2,4,13,1,34.35,-112.07
Arkansas,2003,23,2,0,25,0,34.83,-91.89
California,2003,2,1,0,3,0,36.82,-119.66
Colorado,2003,621,2326,0,2947,63,39.03,-105.54
Connecticut,2003,12,5,0,17,0,41.51,-72.76
Delaware,2003,12,4,1,17,2,39.11,-75.49
District of Columbia,2003,3,0,0,3,0,39.11,-75.49
Florida,2003,61,33,0,94,6,28.39,-82.85
Georgia,2003,27,21,2,50,4,32.58,-83.09
Idaho,2003,0,1,0,1,0,45.01,-114.62
Illinois,2003,30,24,0,54,1,39.74,-89.2
Indiana,2003,15,31,1,47,4,39.45,-86.58
Iowa,2003,81,65,1,147,6,42.13,-93.76
Kansas,2003,89,0,2,91,4,38.56,-98.21
Kentucky,2003,11,1,2,14,1,37.57,-85.67
Louisiana,2003,101,23,0,124,8,30.71,-91.34
Maryland,2003,49,23,1,73,8,39.05,-77.03
Massachusetts,2003,12,5,0,17,1,41.99,-71.14
Michigan,2003,14,4,1,19,2,45.2,-85.91
Minnesota,2003,48,100,0,148,4,46.78,-94.1
Mississippi,2003,34,38,15,87,1,32.48,-90.06
Missouri,2003,39,25,0,64,8,38.31,-92.23
Montana,2003,75,135,12,222,4,46.87,-110.58
Nebraska,2003,194,1741,7,1942,29,41.5,-99.43
Nevada,2003,2,0,0,2,0,39.18,-116.4
New Hampshire,2003,2,0,1,3,0,43.91,-71.56
New Jersey,2003,21,9,4,34,3,40.17,-74.72
New Mexico,2003,74,135,0,209,4,34.29,-106.18
New York,2003,57,12,2,71,11,42.54,-75.28
North Carolina,2003,16,8,0,24,2,35.63,-79.05
North Dakota,2003,94,523,0,617,5,47.47,-99.5
Ohio,2003,84,24,0,108,8,40.22,-82.66
Oklahoma,2003,56,23,0,79,0,35.42,-97.98
Pennsylvania,2003,145,90,2,237,8,40.94,-77.5
Rhode Island,2003,5,2,0,7,1,41.59,-71.43
South Carolina,2003,3,3,0,6,0,33.81,-81.25
South Dakota,2003,151,869,19,1039,14,44.27,-99.68
Tennessee,2003,21,5,0,26,1,35.9,-86.21
Texas,2003,431,289,0,720,37,30.52,-99.21
Utah,2003,0,1,0,1,0,39.41,-111.64
Vermont,2003,0,3,0,3,0,44.04,-72.56
Virginia,2003,19,1,6,26,1,37.55,-78.95
West Virginia,2003,1,1,0,2,0,38.85,-80.27
Wisconsin,2003,7,2,8,17,0,44.98,-89.75
Wyoming,2003,92,210,73,375,9,43.03,-107.56
Alabama,2004,15,1,0,16,0,32.28,-86.92
Arizona,2004,214,160,17,391,16,34.35,-112.07
Arkansas,2004,17,10,1,28,0,34.83,-91.89
California,2004,289,395,95,779,28,36.82,-119.66
Colorado,2004,41,250,0,291,4,39.03,-105.54
Connecticut,2004,0,1,0,1,0,41.51,-72.76
District of Columbia,2004,1,1,0,2,0,39.11,-75.49
Florida,2004,33,8,0,41,2,28.39,-82.85
Georgia,2004,14,7,0,21,1,32.58,-83.09
Idaho,2004,1,2,0,3,0,45.01,-114.62
Illinois,2004,29,30,1,60,4,39.74,-89.2
Indiana,2004,8,2,3,13,1,39.45,-86.58
Iowa,2004,13,9,1,23,2,42.13,-93.76
Kansas,2004,18,25,0,43,2,38.56,-98.21
Kentucky,2004,1,6,0,7,0,37.57,-85.67
Louisiana,2004,85,24,0,109,7,30.71,-91.34
Maryland,2004,10,6,0,16,0,39.05,-77.03
Michigan,2004,13,3,0,16,0,45.2,-85.91
Minnesota,2004,13,21,0,34,2,46.78,-94.1
Mississippi,2004,31,18,2,51,4,32.48,-90.06
Missouri,2004,27,9,0,36,2,38.31,-92.23
Montana,2004,2,3,1,6,0,46.87,-110.58
Nebraska,2004,7,46,0,53,0,41.5,-99.43
Nevada,2004,25,19,0,44,0,39.18,-116.4
New Jersey,2004,1,0,0,1,0,40.17,-74.72
New Mexico,2004,31,53,4,88,4,34.29,-106.18
New York,2004,7,3,0,10,0,42.54,-75.28
North Carolina,2004,3,0,0,3,0,35.63,-79.05
North Dakota,2004,2,18,0,20,2,47.47,-99.5
Ohio,2004,11,1,0,12,2,40.22,-82.66
Oklahoma,2004,16,6,0,22,3,35.42,-97.98
Oregon,2004,0,3,0,3,0,44.16,-120.56
Pennsylvania,2004,9,5,1,15,2,40.94,-77.5
South Carolina,2004,0,2,0,2,0,33.81,-81.25
South Dakota,2004,6,45,0,51,1,44.27,-99.68
Tennessee,2004,13,1,0,14,0,35.9,-86.21
Texas,2004,119,57,0,176,8,30.52,-99.21
Utah,2004,6,5,0,11,0,39.41,-111.64
Virginia,2004,4,0,1,5,1,37.55,-78.95
Wisconsin,2004,5,7,0,12,2,44.98,-89.75
Wyoming,2004,2,7,1,10,0,43.03,-107.56
Alabama,2005,6,4,0,10,2,32.28,-86.92
Arizona,2005,50,61,2,113,5,34.35,-112.07
Arkansas,2005,13,15,0,28,4,34.83,-91.89
California,2005,299,534,47,880,19,36.82,-119.66
Colorado,2005,21,85,0,106,2,39.03,-105.54
Connecticut,2005,4,2,0,6,1,41.51,-72.76
Delaware,2005,1,0,1,2,0,39.11,-75.49
District of Columbia,2005,3,2,0,5,0,39.11,-75.49
Florida,2005,10,11,0,21,1,28.39,-82.85
Georgia,2005,9,7,4,20,2,32.58,-83.09
Idaho,2005,3,10,0,13,0,45.01,-114.62
Illinois,2005,134,91,27,252,13,39.74,-89.2
Indiana,2005,10,2,11,23,1,39.45,-86.58
Iowa,2005,14,21,2,37,2,42.13,-93.76
Kansas,2005,17,8,0,25,1,38.56,-98.21
Kentucky,2005,5,0,0,5,1,37.57,-85.67
Louisiana,2005,117,54,0,171,11,30.71,-91.34
Maryland,2005,4,1,0,5,0,39.05,-77.03
Massachusetts,2005,4,2,0,6,1,41.99,-71.14
Michigan,2005,52,8,2,62,4,45.2,-85.91
Minnesota,2005,18,27,0,45,3,46.78,-94.1
Mississippi,2005,39,31,0,70,6,32.48,-90.06
Missouri,2005,17,13,0,30,3,38.31,-92.23
Montana,2005,8,17,0,25,0,46.87,-110.58
Nebraska,2005,55,133,0,188,5,41.5,-99.43
Nevada,2005,14,15,2,31,1,39.18,-116.4
New Jersey,2005,3,3,0,6,0,40.17,-74.72
New Mexico,2005,20,13,0,33,2,34.29,-106.18
New York,2005,30,8,0,38,4,42.54,-75.28
North Carolina,2005,2,2,0,4,0,35.63,-79.05
North Dakota,2005,12,74,0,86,0,47.47,-99.5
Ohio,2005,46,15,0,61,2,40.22,-82.66
Oklahoma,2005,17,14,0,31,1,35.42,-97.98
Oregon,2005,1,6,0,7,0,44.16,-120.56
Pennsylvania,2005,14,11,0,25,2,40.94,-77.5
Rhode Island,2005,1,0,0,1,0,41.59,-71.43
South Carolina,2005,5,0,0,5,1,33.81,-81.25
